Complexity,Loss,Equation
1,0.08250245,"2.4986923"
3,0.06851982,"logMp ^ 0.5150403"
4,0.05184461,"log(logF + logMp)"
5,0.042975307,"(0.8680573 ^ logMp) * logMp"
7,0.03877454,"((1.2308915 ^ logF) + logMp) ^ 0.411042"
8,0.036185414,"(-3.2062652 / logMp) + log(logF + 16.00811)"
9,0.03145861,"logMp * (((logF * 0.00308879) + 0.85000783) ^ logMp)"
10,0.02963586,"((log(logMp) + (1.0081838 ^ logF)) ^ 2.0606074) - logMp"
11,0.027896686,"(-34.165157 - (logMp * -2.63222)) * (logMp / (logF + -48.320187))"
13,0.025782583,"(0.726301 - (logMp * 0.054575592)) * (logMp - ((1.4538541 ^ logF) * -0.045961965))"
14,0.02558907,"(logMp - ((1.4437908 ^ logF) * -0.049040593)) * log(1.9735703 - (logMp * 0.0803392))"
15,0.024969874,"(logMp + ((-0.16982235 - (logF * -0.029896878)) * logF)) * (0.80065036 - (logMp * 0.06264608))"
17,0.024189569,"((0.756018 - (logMp * 0.058466043)) * logMp) + (((logRhoStar * -0.2763468) - -0.3199591) * (0.50165015 ^ logP))"
