complexity,loss,equation,score,sympy_format,lambda_format
1,0.039432842,1.074499,0.0,1.07449900000000,PySRFunction(X=>1.07449900000000)
3,0.032308947,logMp ^ 0.11622848,0.09962741680734322,logMp**0.11622848,PySRFunction(X=>logMp**0.11622848)
4,0.027960602,log(logMp + 0.55222374),0.14454774088402392,log(logMp + 0.55222374),PySRFunction(X=>log(logMp + 0.55222374))
5,0.021118404,(logMp ^ 0.36150098) - 0.30687243,0.28065156009122855,logMp**0.36150098 - 1*0.30687243,PySRFunction(X=>logMp**0.36150098 - 1*0.30687243)
6,0.02083266,log(logMp + 0.64181507) ^ 0.6604755,0.013622940248880024,log(logMp + 0.64181507)**0.6604755,PySRFunction(X=>log(logMp + 0.64181507)**0.6604755)
7,0.019312982,logMp * (1.6351197 - (1.0718007 ^ logMp)),0.07574443527662073,logMp*(1.6351197 - 1.0718007**logMp),PySRFunction(X=>logMp*(1.6351197 - 1.0718007**logMp))
8,0.01778943,log((logMp ^ 3.77213) + 5.404025) - logMp,0.08217305158306146,-logMp + log(logMp**3.77213 + 5.404025),PySRFunction(X=>-logMp + log(logMp**3.77213 + 5.404025))
9,0.017107902,(-1.7113444 / ((logMp ^ logMp) + logP)) + 1.2672538,0.03906399865824494,1.2672538 - 1.7113444/(logMp**logMp + logP),PySRFunction(X=>1.2672538 - 1.7113444/(logMp**logMp + logP))
10,0.016925925,log(((logMp ^ 3.779371) + logP) + 3.4301653) - logMp,0.010693991848737453,-logMp + log(logMp**3.779371 + logP + 3.4301653),PySRFunction(X=>-logMp + log(logMp**3.779371 + logP + 3.4301653))
11,0.014382441,(((FeH / (logP + -1.3652595)) + logMp) ^ 0.2345054) + -0.20659608,0.16283838264592557,(FeH/(logP - 1.3652595) + logMp)**0.2345054 - 0.20659608,PySRFunction(X=>(FeH/(logP - 1.3652595) + logMp)**0.2345054 - 0.20659608)
