seed,complexity,r2_test_oos,r2_train,overfit,formula
s123,10,0.696691941533459,0.6887149572159595,-0.007976984317499491,(log(logMp)*(0.91546**logMp))**logF + 1.2503
s123,16,0.6626529033018098,0.7148367044884185,0.0521838011866087,1.04**logP + (((log(logMp)*(0.77914**logMp + 0.36579))**logF)**1.2959)
s0,13,0.6624058914561801,0.6501987006228911,-0.012207190833289028,logMp*(1.3552**logF*(-0.0010312) + (-0.061921))*(logMp + (-12.297))
s42,11,0.6471170804442039,0.651533857924296,0.00441677748009206,(logMp*(logMp + (-12.4)) - 1.2939**logF)*(-0.059801)
s0,11,0.647092552312029,0.6515562441550002,0.00446369184297124,(1.2939**logF - (logMp + (-12.4))*logMp)*0.059803
s123,19,0.6418395867793766,0.7043599644556958,0.06252037767631924,((log(logMp - log1p_ecc/log(logMp))*(0.35931 + 0.7886**logMp))**logF) + 1.0452**
s0,9,0.6397219129486864,0.6263425267064411,-0.013379386242245328,(logF - (logMp + (-12.642))*logMp)*0.056739
s42,9,0.6397062516774993,0.6263563204074711,-0.013349931270028148,((logMp + (-12.642))*logMp - logF)*(-0.05674)
s123,12,0.6354664181955689,0.7001235626883813,0.06465714449281235,((0.78638**logMp + 0.35916)*log(logMp))**logF + 1.1001
s123,14,0.6345116801322992,0.7123537231506778,0.0778420430183786,((0.78925**logMp + 0.35741)*log(logMp))**logF + 1.0347**logP
s0,17,0.6336248501821545,0.6757222811582166,0.04209743097606211,(1.2567**logF - (FeH + ((logMp + (-12.591))*(logMp - log1p_ecc) + logRhoStar)))*
s42,17,0.6335812574654083,0.6756633051435292,0.04208204767812096,((((logMp + (-12.589))*(logMp - log1p_ecc) + FeH) + logRhoStar) - 1.2566**logF)*
s42,19,0.6310122173539621,0.685315789986279,0.05430357263231689,(1.2513**logF - (((logMp - log1p_ecc) - FeH)*((logMp + (-12.297)) - FeH) + logRh
s0,19,0.6309299231445819,0.6853432867478714,0.05441336360328952,((((logMp - FeH) + (-12.296))*(logMp - (FeH + log1p_ecc)) + logRhoStar) - 1.2513
s42,15,0.6296502261068353,0.6704853672772311,0.04083514117039577,(((logMp - log1p_ecc)*(logMp + (-12.595)) + logRhoStar) - 1.258**logF)*(-0.05951
s0,15,0.6296478466801403,0.6705535445555795,0.040905697875439184,(1.258**logF - (logRhoStar + (logMp + (-12.596))*(logMp - log1p_ecc)))*0.059514
s42,13,0.6263219491779205,0.6668198616888072,0.04049791251088675,(((logMp + (-12.427))*logMp + logRhoStar) - 1.2759**logF)*(-0.059687)
s123,11,0.5991356390979823,0.6510530008115964,0.05191736171361416,(1.0027**logF)**logF * (0.85361**logMp)*logMp
s0,7,0.5831980643882523,0.5543256436983389,-0.02887242068991336,0.87108**logMp*(logMp - log1p_ecc)
s42,7,0.5831980643882523,0.5543256436983389,-0.02887242068991336,0.87108**logMp*(logMp - log1p_ecc)
s123,7,0.5831980643882523,0.5543256436983389,-0.02887242068991336,0.87108**logMp*(logMp - log1p_ecc)
s123,20,0.5826946130552195,0.6962914381726295,0.11359682511740998,((log(log1p_ecc/(1.8735 - logF) + logMp)*(0.35916 + 0.78827**logMp))**logF) + 1.
s123,8,0.576432589299136,0.5557622786713414,-0.020670310627794564,log(logF + 14.666) + (-2.7922/logMp)
s42,8,0.5764121502952793,0.5557723239584849,-0.020639826336794398,-2.7921/logMp + log(logF + 14.666)
s0,8,0.576327540937025,0.5558010076198274,-0.02052653331719756,-2.7914/logMp + log(logF + 14.664)
s123,9,0.5311710841257393,0.6144414272713615,0.0832703431456222,(0.84773**logMp)*(1.0249**logF)*logMp
s42,3,0.5062425932879904,0.36486165298160733,-0.14138094030638304,logMp**0.52376
s123,3,0.5062392917245448,0.3649050102739376,-0.14133428145060722,logMp**0.52377
s0,3,0.5062359630404388,0.3649483406065741,-0.14128762243386472,logMp**0.52378
s123,5,0.43253140435849025,0.5139680477464963,0.08143664338800605,(logMp + logF)**0.37608
s0,5,0.43253140435849025,0.5139680477464963,0.08143664338800605,(logF + logMp)**0.37608
s42,5,0.43253140435849025,0.5139680477464963,0.08143664338800605,(logF + logMp)**0.37608
s0,4,0.4026967867925333,0.39965553292452705,-0.003041253868006244,log(logMp + logF)
s42,4,0.4026967867925333,0.39965553292452705,-0.003041253868006244,log(logF + logMp)
s123,4,0.4026967867925333,0.39965553292452705,-0.003041253868006244,log(logMp + logF)
s0,1,,,,2.524
s42,1,,,,2.524
s123,1,,,,2.524
